序号,新闻内容
28,12月26日-27日，教师发展中心开展2023年新进教师教学演练与考评，120余名新进教师进行课程试讲，并与指导专家就教学设计、课堂组织、课件制作等进行了深入交流。
29,12月26日，经管学院开展2023年环校健身跑颁奖仪式暨一院一品“奔跑成电人”分享沙龙，学院相关负责人、教师代表为参与活动的同学颁奖，校友冯学凤、郑建分别作运动健康知识分享。
30,12月26日，格拉斯哥学院党委开展宣传思想工作专题学习研讨会，深入学习习近平总书记对宣传思想文化工作作出的重要指示精神，四川省宣传思想文化工作会议精神、《中华人民共和国爱国主义教育法》，并结合格拉斯哥学院、格拉斯哥海南学院工作实际进行了2024年相关工作研讨。
31,12月26日，华中师范大学黎安滨海学校407名师生到访格拉斯哥海南学院，实地参观了陈列室、实验室及其他教学场地设施，并听取了学校、学院的专题介绍。
32,12月25日-26日，集电学院举行“勇担新使命·筑梦中国芯”2024年集成电路工程项目实训双选宣讲会暨2023年集成电路工程项目实训表彰会，教务处、学院相关负责人，40余家实习单位和250余名学生参加会议。
33,12月25日，信通学院开展2023年杰出人才交流会，7位杰出人才代表汇报了年度工作进展情况。
34,12月25日，英才学院举办“新英初绽，玉英盛发”2023年荣誉表彰大会暨2024年迎新晚会，学院负责人、教师代表、全体学生参加晚会。
35,12月25日，我校原挂职干部、岑巩县委原副书记张泽宝被贵州省岑巩县授予岑巩县首届“荣誉市民”称号。
36,12月23日，电子科技大学宁波校友会换届大会暨长三角校友会2023年会、智能汽车行业分会成立活动在宁波举行。1985级校友夏洪祥当选新一任会长，1986级校友郑建江校友任秘书长。来自各地区校友会的150余位校友参加。合作发展部负责人和相关工作人员参加活动。活动期间，还走访了校友企业宁波平易数字产业园、甬矽电子股份有限公司。
37,12月22日，中华出版促进会教育新闻出版专业委员会2023年年会在无锡举行。我校党委宣传部副部长、新闻中心副主任陈伟当选为专委会常务理事；陈伟、王晓刚撰写的论文获评“2023年会优秀学术论文”；林坤获评“2023年度教育新闻出版业优秀编辑”；党委宣传部报送的《亲爱的电子科大，生日快乐！》获评2023年首届大学生新媒体创作大赛内容创作类优秀作品。
38,12月22日，由国际处主办的“第十五届国际教育交流月系列活动-因公出国签证专题培训”在清水河校区举行，邀请四川省外事办公室外事服务中心签证认证部负责人作了专题培训。学校各单位外事秘书、专办员和部分老师参加会议。
39,12月21日，材料学院材料科学与工程系第一党支部联合研究生各党支部举行“聚焦科学研究，启思学术写作”主题师生支部共建活动，邀请党员教师与学生深入交流，围绕研究生如何做好科研工作进行了指导。
40,12月21日，经管学院举行经彩学术沙龙，邀请学院舒嘉教授作了题为“Two-Stage Robust Optimization and Its Applications”的报告。
41,12月21日，公管学院举行“青春与创新共振”第五届学生论坛。学院和学工部负责人分别致辞，清华大学校团委副书记唐啸、公管学院师生及校友代表等进行了专题分享。学校相关部门负责人，学院教师代表、各年级学生代表、全体学生党员、党员发展对象、入党积极分子、立人班成员、主要学生干部等500余人参加论坛。
42,12月21日，长安大学党委统战部部长石松一行来校调研，双方围绕大统战工作格局构建、民主党派基层组织建设、党外代表人士作用发挥、民族宗教工作机制建设等进行了深入研讨交流。
43,12月20日、21日，云南省高等学校教学科研带头人、云南大学晏钢教授来访我校，就来华留学生国情教育等进行了深入了解和交流，并面向我校来华留学生开展中国国情教育讲座。我校国际教育学院负责人、对外汉语教师团队成员参加交流。
44,12月20日，信通学院召开通信与信息系统国家级实验教学示范中心教学指导委员会年度工作会，就实验教学示范中心2023年度工作进行了总结，并对四川省“智慧物联”虚拟仿真实验教学中心进行了自查自评工作。
45,12月20日，自动化学院机关党支部召开党员大会，副院长邱根以“坚定不移走中国特色自主创新，学习习近平关于科技创新论述摘编”为题讲授专题党课。
46,12月20日，公管学院召开党委会会议，就进一步落实党建和意识形态工作责任进行研讨部署。学院党委全体委员参加会议。
47,12月20日，国际处举办“学长说-海外留学经验分享会”，邀请信通学院、抗干扰重点实验室的4位优秀联合培养博士分享了海外学习和科研经历。校内有出国留学意向的学生参加活动。
48,12月19日，由成都电子信息产业生态圈联盟主办、电子学院承办的电子信息产学研合作精准对接会成功举行，来自电子学院的五个科研团队开展项目路演，并与10余家企业、投资机构深入进行需求对接。
49,12月19日，深圳高研院举行“高研讲坛”，邀请深圳市高层次人才、我校蒲晓蓉教授作了题为“AI大模型及其在医疗健康领域的应用”的学术讲座。
50,12月20日，四川省人民医院肿瘤中心、遗传中心、中医科等医护人员到信通学院交流，双方就如何在医工交叉领域开展研究进行了深入研讨。相关团队代表参会交流。
51,12月20日，生命学院开展实验室安全检查，学院相关负责人一行对各实验室进行了现场查看，全面排查安全隐患，并进一步提升师生安全意识。
52,12月19日，自动化学院本科和研究生党员代表赴宜宾开展“自强先锋”党建系列活动，参观了极米光电有限公司、赵一曼纪念馆、电子科大宜宾园区，并与宜宾园区党员代表围绕“赓续红色血脉，科技自立自强”主题进行了深入交流。
53,12月19日，集成电路学院举行2023年心理健康教育工作总结会，总结2023年工作、部署2024年重点工作，并对过去一年在学院心理健康教育工作中表现优异的学生进行了表彰。
54,12月18日，国际处举办&nbsp;“知美”国际礼仪与形象沟通讲座，围绕有效沟通、服饰装扮、个人仪态、国际礼仪四个方面进行专题培训。来自各学院有意出国交流学习的同学参加培训。
55,12月16-17日，电子科技大学医学院建设发展推进大会在沙河校区隆重举行。四川省政府党组成员、副省长郑备，中国工程院王辰院士、乔杰院士，四川省政府副秘书长刘全胜，省卫健委党组书记、主任徐斌，省教育厅一级巡视员戴作安，电子科技大学党委书记王亚非、校长曾勇，校领导申小蓉、胡皓全、徐红兵、胡俊、孔令讲，四川省人民医院党委书记欧力生出席大会。四川省人民医院院长、电子科技大学医学院院长杨正林院士主持大会。会上，郑备、王亚非、徐斌和戴作安分别致辞。电子科技大学医学院还分别和成都京东方医院、华创证券有限责任公司签署合作协议。曾勇分别为成都京东方医院、华创证券有限责任公司授牌。王辰院士、乔杰院士，武汉大学党委常委、副校长唐其柱，四川大学党委副书记、华西临床医学院(华西医院)党委书记李正赤分别作了主旨报告。活动期间还举行了新医科建设研讨会。四川省普通本科高等学校新医科教学指导委员会在会上正式成立，并举行了第一次会议。与会嘉宾还分别在四个分会场进行了深入交流。附属医院和全国各兄弟医院、高校和医学院的领导和嘉宾，京东方集团、华创证券有限责任公司和学校各职能部门、学院负责人，附属医院领导班子成员、中层干部、专家教授以及师生参加大会。
56,12月15日，复旦大学信息科学与工程学院党委书记徐阳、院长迟楠一行到信通学院调研，双方围绕党建引领事业发展、有组织科研、团队建设、人才引育等进行了深入交流。
57,12月15日，电子学院领导班子成员前往中国科技大学信息科学技术学院调研，双方围绕党建引领、学科建设、人才培养、科研合作、师资队伍、校友工作、行政团队建设等进行了深入交流。
58,12月15日，由人力资源部博士后和教师引进管理办公室主办、材料学院承办的第90期博士后学术沙龙在清水河校区举行。我校博士后刘书宁、李天慧、李怡、闫宗楷围绕研究成果、参赛经验作分享。
59,12月15日，软件学院副院长朱国斌一行走访中国航天科工集团第二研究院七〇六所，双方就科学研究、人才培养等进行了深入交流。
60,12月15日，物理学院党委开展警示教育，邀请学校纪委监督检查室主任、监察处副处长吴钊阳作题为“持续强化纪律规矩意识，营造风清气正的干事创业氛围”的专题报告。
61,12月15日，西南财经大学深圳校友会副会长兼秘书长屈幼姝一行到深圳高研院调研，双方围绕平台建设、科学研究、产学研合作、成果转化等进行了深入交流。
62,12月15日，图书馆举办2023年馆员能力提升培训，邀请四川大学图书馆知识服务中心负责人作了题为“准备好了吗？生成式AI将如何重塑你和图书馆的未来”的讲座。
63,12月14日-15日，机关与直属单位、出版社分别召开工会会员代表大会换届选举会议、第八届职工大会暨工会会员大会换届选举会议，选举产生了新一届工会委员会委员，以及出席学校第九届教职工代表大会暨第十四届工会会员代表大会的代表。出版社还选举产生了新一届教代会执行委员会委员。
64,12月14日，材料学院党委召开理论学习中心组（扩大）会议和二级党组织书记引航项目、教工党支部书记续航项目中期交流推进会，学院党委书记周海涛领学中共四川省委第十二届四次全会精神、四川省宣传思想文化工作会议精神，并就学校二级党组织书记例会精神进行了传达及部署。
65,12月14日，经管学院开展2023级新生教育之“电子商务专业介绍与引领讲座”，殷允强教授、袁华教授、晏鹏宇教授、钱宇教授、王娇副教授、雷东副教授、陆炜副教授围绕管理科学、电子商务两大专业方向所需的专业素质模型和发展前景等与同学们进行了交流互动。
66,12月14日，国际处举办2024年国家公派出国留学项目政策宣讲会。国家留学基金管理委员会出国留学选培部副主任杨立国受邀作专题宣讲。宣讲前，围绕如何进一步做好国家公派项目进行了座谈交流。
67,12月14日，校医院举办第八届青年医师病历演讲比赛，共有20余位青年医师参赛。
68,12月13日，信通学院组织国家级一流本科课程建设名师指导训练营（第一期），邀请国家级教学名师、重庆大学曾孝平教授，四川省教学名师李玉柏教授分享国家级一流本科课程建设经验。
69,12月13日，外国语学院赴上海一者信息科技有限公司开展“访企拓岗”，并就翻译专业学位研究生联合培养、语料库平台建设进行了深入交流。
