,id,title,sourceUrl,addTime
5795,0e33f531ae4f4bb0a262a2addfd9f828,饶云江教授团队与央企合作取得突破性成果,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70332,2019-03-24T00:00:00
5796,1f32112255d1468a8de6ec119cac8309,关于“开发基于项目的新生课程教改专项”申报通知,https://www.jwc.uestc.edu.cn/info/ff80808169a0d69d0169a343068e0016,2019-03-22T00:00:00
5797,81ca471ac77b4b0595994b20af3613bb,关于启动“新工程教育体系设计与实践教改专项”申报的通知,https://www.jwc.uestc.edu.cn/info/ff80808169a0d69d0169a33d55d40014,2019-03-22T00:00:00
5798,1ac3913fcdf74125a2bfff78c570be03,学校纪委召开全委扩大会议研究部署2019年纪检监察工作,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70312,2019-03-22T00:00:00
5799,133ac1dda8b845b9b00c2068babbd6b9,王志明教授团队在《美国科学院院刊》发表研究成果,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70234,2019-03-22T00:00:00
5800,2df785c00a4f41bd9f9562a01b105b01,奥地利基蒂-里维拉二重奏2019巡演奏响“春暖之夜”,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70318,2019-03-21T00:00:00
5801,a1d85148a36342b199f0848e9b0af655,学校辅导员队伍建设指导委员会召开2019年第一次会议,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70254,2019-03-21T00:00:00
5802,0a820377afa447d38d14cb2a34d40335,关于公布各学院2019年本科生转专业实施细则的通知,https://www.jwc.uestc.edu.cn/info/ff808081699692f301699a44d1b30046,2019-03-20T00:00:00
5803,375de53822f74801916a4ce63b462a16,双校区中央空调系统换季检修通知,https://hq.uestc.edu.cn/web/detail.jsp?article_id=6749,2019-03-20T00:00:00
5804,ac2280ea873d45eca58c0cc7af745f41,四川省首期“治蜀兴川”高校优秀年轻干部递进培训班来校调研,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70278,2019-03-20T00:00:00
5805,9ae675dc1f7e499da454b20097500c5c,电子科技大学第二附属幼儿园2019年春季招生通知,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70290,2019-03-20T00:00:00
5806,5f7a55e78c984a84a5f54be3636acd25,关于召开 “新工程教育体系设计与实践教改专项” “开发基于项目的新生课程教改专项”报告会暨立项申报启动会的通知,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70252,2019-03-19T00:00:00
5807,f4fe29f78aa64a51a7ef28a518d639d6,关于召开2019年全国两会精神传达大会的通知,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70263,2019-03-19T00:00:00
